Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),LOWER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),UPPER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),LOWER_ZONE:Zone People Number Of Occupants [](Hourly),LOWER_ZONE:Zone People Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Lights Electric Consumption [J](Hourly),LOWER_ZONE:Zone Lights Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Electric Equipment Electric Consumption [J](Hourly),LOWER_ZONE:Zone Electric Equipment Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Transmitted Solar Energy[J](Hourly),UPPER_ZONE:Zone Transmitted Solar Energy[J](Hourly),LOWER_ZONE:Zone Mean Air Temperature [C](Hourly),LOWER_ZONE:Zone Operative Temperature [C](Hourly),LOWER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),UPPER_ZONE:Zone Mean Air Temperature [C](Hourly),UPPER_ZONE:Zone Operative Temperature [C](Hourly),UPPER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),LOWER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),UPPER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Loss [J](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Ventilation Air Change Rate [ach](Hourly),LOWER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),LOWER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),PV_SURFACE:PV Generator DC Energy [J](Hourly),WT1:Wind Turbine Electric Energy Produced [J](Hourly),WT2:Wind Turbine Electric Energy Produced [J](Hourly) 
 10/14  17:00:00,14.75,5.7,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,6647223.995,4771847.237,23.97080715,24.45508189,226.1597648,23.29153582,23.7366453,217.4994186,0.516231884,0.515122334,1849218.376,0,0.774321529,0,4489325.437,0,0,509473.3857,25953100.61,27000000
 10/14  18:00:00,14,5.475,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1156025.664,1322052.849,23.38133531,23.33845481,-125.1860082,22.68525757,22.76864084,2.970814533,0.516576388,0.515424086,2062644.057,0,3.339411291,2812072.751,1683881.104,0,0,32067.60945,22744872.76,27000000
 10/14  19:00:00,13.375,6.0125,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,23.99972981,23.52902878,-318.7731088,21.31645814,21.67273045,106.436837,0.518547946,0.513948894,2116320.363,0,0.777795503,0,1971083.383,0,0,0,30145909.15,27000000
 10/14  20:00:00,13,4.575,0,0,0,0,0,0,0,0,0,0,22.01924063,22.20427248,60.49663349,20.81900808,21.18987029,120.5700117,0.515981279,0.513952204,0,0,0,0,0,0,0,0,12667375.57,6750000
 10/14  21:00:00,13,3.2875,0,0,0,0,0,0,0,0,0,0,21.00717621,21.43710557,226.3369357,20.44952154,20.8331594,127.5114135,0.513949294,0.513039906,0,0,0,0,0,0,0,0,0,0
 10/14  22:00:00,13,4.0375,0,0,0,0,0,0,0,0,0,0,20.67306567,21.10704759,237.6355354,20.20612016,20.58289946,125.2508969,0.513381625,0.512614418,0,0,0,0,0,0,0,0,5989433.365,0
 10/14  23:00:00,13,3.975,0,0,0,0,0,0,0,0,0,0,20.45039918,20.87964782,234.5598732,20.01854574,20.38960782,123.7693685,0.51300231,0.512286825,0,0,0,0,0,0,0,0,2853797.528,0
 10/14  24:00:00,12.375,2.9125,0,0,0,0,0,0,0,0,0,0,20.20522041,20.64460391,239.477703,19.79462051,20.17386458,126.2278964,0.513700239,0.5130147,0,0,0,0,0,0,0,0,0,0
 10/15  01:00:00,12.625,1.875,0,0,0,0,0,0,0,0,0,0,20.02901338,20.46873904,245.3445065,19.64884632,20.02653837,130.942774,0.512913008,0.512277853,0,0,0,0,0,0,0,0,0,0
 10/15  02:00:00,13,1.5,0,0,0,0,0,0,0,0,0,0,19.98665941,20.39950142,223.9772679,19.6273485,19.98063839,118.4851224,0.512164943,0.511564984,0,0,0,0,0,0,0,0,0,0
