Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZN_1_FLR_1_SEC_4:Zone People Number Of Occupants [](Hourly),ZN_1_FLR_1_SEC_4:Zone Lights Electric Power [W](Hourly),ZN_1_FLR_1_SEC_4:Zone Electric Equipment Electric Consumption [J](Hourly),80224C:Window Transmitted Solar Energy[J](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Radiant Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Air Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Operative Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Infiltration Air Change Rate [ach](Hourly),ZN_1_FLR_1_SEC_4:Zone Ventilation Air Change Rate [ach](Hourly) 
 07/02  15:00:00,27.375,0.0,57.6339651272034,605156.633835636,13545709.3749655,29.3659870403173,27.7430941182236,28.5545405792705,0.250308034248542,18.022178465895 
 07/02  16:00:00,26.375,0.0,57.6339651272034,605156.633835636,9823924.34535879,29.610213284889,27.0154509099943,28.3128320974417,0.250536315855016,18.0386147415612 
 07/02  17:00:00,26.,0.0,57.6339651272034,605156.633835636,7325590.80435547,29.5744453874101,26.7347340162153,28.1545897018127,0.250615907707197,18.0443453549182 
 07/02  18:00:00,24.75,0.0,57.6339651272034,605156.633835636,5614429.04217836,29.3330951467467,25.7393879898357,27.5362415682912,0.250979271268817,18.0705075313548 
 07/02  19:00:00,22.75,0.0,57.6339651272034,605156.633835636,3062180.72877508,28.4635229796846,24.0624045575451,26.2629637686149,0.251259040572911,18.0906509212496 
 07/02  20:00:00,21.375,0.0,57.6339651272034,605156.633835636,247639.718351883,27.2220988685913,22.7411316285652,24.9816152485782,0.251161329547892,18.0836157274482 
 07/02  21:00:00,19.75,0.0,57.6339651272034,605156.633835636,0.0,26.1800117064152,21.9036072907817,24.0418094985985,0.503927771508828,11.0834328605685 
 07/02  22:00:00,18.375,0.0,57.6339651272034,605156.633835636,0.0,25.1986799688274,20.7476826338165,22.9731813013219,0.504071791442633,10.0814358288527 
 07/02  23:00:00,18.,0.0,57.6339651272034,605156.633835636,0.0,24.2930573008334,20.1750957869236,22.2340765438785,0.503739024167681,10.0747804833536 
 07/02  24:00:00,18.,0.0,57.6339651272034,605156.633835636,0.0,23.5799737831631,19.8946649390806,21.7373193611218,0.503258640339825,10.0651728067965 
