Date/Time,SomeCategory:Some subcategory [x](Hourly),SomeCategory:Some other subcategory,SomeOtherCategory:yet another subcategory [x](Hourly)
 06/26  17:00:00,15.6,5.575,7.06063104
 06/26  18:00:00,15.225,5.2,5.20257024
 06/26  19:00:00,14.625,5.2,2.97289728
 06/26  20:00:00,14.0875,4.5125,2.97289728
 06/26  21:00:00,13.9,4.1,0.74322432
 06/26  22:00:00,13.525,3.475,0.74322432
 06/26  23:00:00,13.675,3.1,0.37161216
 06/26  24:00:00,13.9,3.1,0.37161216
 06/27  01:00:00,14.5875,3.1,0
 06/27  02:00:00,14.625,1.1625,0
 06/27  03:00:00,14.0875,0,0
 06/27  04:00:00,13.9,2.5625,0
 06/27  05:00:00,13.9,3.475,0
 06/27  06:00:00,13.9,1.1625,0
 06/27  07:00:00,14.5875,1.625,0.74322432
 06/27  08:00:00,15.6875,1.6,1.48644864
 06/27  09:00:00,16.475,2.3125,7.06063104
 06/27  10:00:00,17.0125,3.725,7.06063104
 06/27  11:00:00,17.8875,4.1,7.06063104
 06/27  12:00:00,18.675,3.7875,7.06063104
 06/27  13:00:00,19.5875,3.9125,3.7161216
 06/27  14:00:00,20,5.4125,7.06063104
 06/27  15:00:00,20,6.2,7.06063104
 06/27  16:00:00,20,6.2,7.06063104
 06/27  17:00:00,18.9375,7.1375,7.06063104
 06/27  18:00:00,17.9875,7.075,5.20257024
 06/27  19:00:00,16.05,6.3875,2.97289728
 06/27  20:00:00,13.9375,5.575,2.97289728
 06/27  21:00:00,12.9875,4.2,0.74322432
 06/27  22:00:00,12.1125,4.225,0.74322432
 06/27  23:00:00,11.325,6.85,0.37161216
 06/27  24:00:00,11.7875,6.95,0.37161216
 06/28  01:00:00,12.2,5.575,0
 06/28  02:00:00,12.2,5.2,0
 06/28  03:00:00,11.8875,5.2,0
 06/28  04:00:00,12.0125,5.2,0
 06/28  05:00:00,12.2,5.2,0
 06/28  06:00:00,12.575,3.2625,0
 06/28  07:00:00,13.4875,1.4125,0.74322432
 06/28  08:00:00,15.275,0.375,1.48644864
 06/28  09:00:00,16.475,0,7.06063104
 06/28  10:00:00,17.0125,1.625,7.06063104
 06/28  11:00:00,18.2625,2.9125,7.06063104
 06/28  12:00:00,20.65,3.1,7.06063104
 06/28  13:00:00,23.075,5.0375,3.7161216
 06/28  14:00:00,23.525,8.1375,7.06063104
 06/28  15:00:00,21.925,9.925,7.06063104
 06/28  16:00:00,20.7875,10.3,7.06063104
 06/28  17:00:00,20.6,10.3,7.06063104
 06/28  18:00:00,19.85,9.675,5.20257024
 06/28  19:00:00,19.0875,7.9875,2.97289728
 06/28  20:00:00,17.15,7.2,2.97289728
 06/28  21:00:00,15.0375,7.2,0.74322432
 06/28  22:00:00,14.4,5.2625,0.74322432
 06/28  23:00:00,14.0875,4.7875,0.37161216
 06/28  24:00:00,13.9,3.8875,0.37161216
 06/29  01:00:00,13.525,3.1,0
 06/29  02:00:00,13.675,2.475,0
 06/29  03:00:00,13.9,0.7875,0
 06/29  04:00:00,13.525,0,0
 06/29  05:00:00,13.3,0.625,0
 06/29  06:00:00,13.9875,1.6875,0
 06/29  07:00:00,16.8375,0.7875,0.74322432
 06/29  08:00:00,18.9875,1.3125,1.48644864
 06/29  09:00:00,19.775,2.725,7.06063104
 06/29  10:00:00,22.0625,2.475,7.06063104
 06/29  11:00:00,25.425,1.725,7.06063104
 06/29  12:00:00,27.3875,2.8125,7.06063104
 06/29  13:00:00,28.4875,6.1625,3.7161216
 06/29  14:00:00,27.8375,8.3875,7.06063104
 06/29  15:00:00,26.5125,9.7375,7.06063104
 06/29  16:00:00,25.4125,10.6125,7.06063104
 06/29  17:00:00,24.625,10.8,7.06063104
 06/29  18:00:00,23.7125,10.175,5.20257024
 06/29  19:00:00,21.6125,8.4875,2.97289728
 06/29  20:00:00,18.475,8.0125,2.97289728
 06/29  21:00:00,16.5125,7.2625,0.74322432
 06/29  22:00:00,15.7875,6.075,0.74322432
 06/29  23:00:00,14.85,5.3875,0.37161216
 06/29  24:00:00,14.4,4.5125,0.37161216
 06/30  01:00:00,14.4,2.475,0
 06/30  02:00:00,14.4,1.875,0
 06/30  03:00:00,14.0875,2.1,0
 06/30  04:00:00,14.2125,2.1,0
 06/30  05:00:00,14.775,0.7875,0
 06/30  06:00:00,15.375,1.3125,0
 06/30  07:00:00,17.975,0.7875,0.74322432
 06/30  08:00:00,20.15,1.9375,0.74322432
 06/30  09:00:00,20.9125,3.725,3.7161216
 06/30  10:00:00,22.1625,3.475,3.7161216
 06/30  11:00:00,24.175,2.7875,3.7161216
 06/30  12:00:00,26.75,2.2875,3.7161216
 06/30  13:00:00,30.55,3.6625,3.7161216
 06/30  14:00:00,32.575,5.9125,3.7161216
 06/30  15:00:00,31.05,8.0125,0.74322432
 06/30  16:00:00,28.9375,9.7375,0.74322432
 06/30  17:00:00,26.925,10.925,0.74322432
 06/30  18:00:00,25.7875,10.05,0
 06/30  19:00:00,25.225,7.675,0
 06/30  20:00:00,21.5,6.7,0
 06/30  21:00:00,18.7125,6.075,0
 06/30  22:00:00,17.675,5.575,0
 06/30  23:00:00,16.6125,5.3125,0
 06/30  24:00:00,15.575,5.075,0
 07/01  01:00:00,14.575,4.875,0
 07/01  02:00:00,13.575,4.675,0
 07/01  03:00:00,12.5125,4.4125,0
 07/01  04:00:00,11.475,4.175,0
 07/01  05:00:00,11.5375,4.1,0
 07/01  06:00:00,12.3,4.1,0
 07/01  07:00:00,13.0375,4.1,0
 07/01  08:00:00,14.3625,4.6625,0
 07/01  09:00:00,16,5.5,0
 07/01  10:00:00,17.6625,6.3625,0
 07/01  11:00:00,18.175,7.0125,0
 07/01  12:00:00,18.0375,7.5125,0
 07/01  13:00:00,17.875,8.0125,0
 07/01  14:00:00,17.8,8.825,0
 07/01  15:00:00,17.8,9.8875,0
 07/01  16:00:00,17.8,10.925,0
 07/01  17:00:00,16.9875,11.8625,0
 07/01  18:00:00,15.6875,12.7,0
 07/01  19:00:00,14.3875,13.5625,0
 07/01  20:00:00,13.65,12.5875,0
 07/01  21:00:00,13.3125,10.55,0
 07/01  22:00:00,12.95,8.4875,0
 07/01  23:00:00,12.8,7.5125,0
 07/01  24:00:00,12.8,7.15,0
 07/02  01:00:00,12.8,6.8125,0
 07/02  02:00:00,12.675,6.575,0
 07/02  03:00:00,12.475,6.4375,0
 07/02  04:00:00,12.275,6.275,0
 07/02  05:00:00,12.6375,6.0125,0
 07/02  06:00:00,13.4,5.65,0
 07/02  07:00:00,14.1375,5.3125,0.74322432
 07/02  08:00:00,15.3375,5.075,1.48644864
 07/02  09:00:00,16.8375,4.875,7.06063104
 07/02  10:00:00,18.3375,4.675,7.06063104
 07/02  11:00:00,19.15,5.225,7.06063104
 07/02  12:00:00,19.4875,6.2875,7.06063104
 07/02  13:00:00,19.85,7.325,3.7161216
 07/02  14:00:00,19.5625,8.0125,7.06063104
 07/02  15:00:00,18.8,8.575,7.06063104
 07/02  16:00:00,18.0625,9.1125,7.06063104
 07/02  17:00:00,16.9875,8.7375,7.06063104
 07/02  18:00:00,15.6875,7.9,5.20257024
 07/02  19:00:00,14.3875,7.0375,2.97289728
 07/02  20:00:00,13.65,6.1375,2.97289728
 07/02  21:00:00,13.3125,5.3,0.74322432
 07/02  22:00:00,12.95,4.4375,0.74322432
 07/02  23:00:00,12.8,4.5375,0.37161216
 07/02  24:00:00,12.8,5.2375,0.37161216
 07/03  01:00:00,12.8,5.9375,0
 07/03  02:00:00,12.925,6.0125,0
 07/03  03:00:00,13.0625,5.65,0
 07/03  04:00:00,13.225,5.3125,0
 07/03  05:00:00,13.3,5.325,0
 07/03  06:00:00,13.3,5.4625,0
 07/03  07:00:00,13.3,5.625,0.74322432
 07/03  08:00:00,13.675,5.575,1.48644864
 07/03  09:00:00,14.2125,5.4375,7.06063104
 07/03  10:00:00,14.775,5.275,7.06063104
 07/03  11:00:00,15.375,5.95,7.06063104
 07/03  12:00:00,15.9125,7.15,7.06063104
 07/03  13:00:00,16.475,8.35,3.7161216
 07/03  14:00:00,16.575,8.925,7.06063104
 07/03  15:00:00,16.375,9.0625,7.06063104
 07/03  16:00:00,16.175,9.225,7.06063104
 07/03  17:00:00,15.6625,8.8625,7.06063104
 07/03  18:00:00,14.9,8.1625,5.20257024
 07/03  19:00:00,14.1625,7.4625,2.97289728
 07/03  20:00:00,13.65,7.0125,2.97289728
 07/03  21:00:00,13.3125,6.65,0.74322432
 07/03  22:00:00,12.95,6.3125,0.74322432
 07/03  23:00:00,12.675,5.45,0.37161216
 07/03  24:00:00,12.475,4.25,0.37161216
 07/04  01:00:00,12.275,3.05,0
 07/04  02:00:00,12.325,2.9125,0
 07/04  03:00:00,12.525,3.4125,0
 07/04  04:00:00,12.725,3.9125,0
 07/04  05:00:00,13.05,4.225,0
 07/04  06:00:00,13.3875,4.3625,0
 07/04  07:00:00,13.75,4.525,0
 07/04  08:00:00,14.7125,4.9125,0
 07/04  09:00:00,16.0125,5.475,0
 07/04  10:00:00,17.3125,6.0125,0
 07/04  11:00:00,18.2375,6.5125,0
 07/04  12:00:00,19,7.0125,0
 07/04  13:00:00,19.7375,7.5125,0
 07/04  14:00:00,19.75,8.1375,0
 07/04  15:00:00,19.4125,8.8375,0
 07/04  16:00:00,19.05,9.5375,0
 07/04  17:00:00,18.2125,9.6125,0
 07/04  18:00:00,17.1125,9.25,0
 07/04  19:00:00,16.0125,8.9125,0
 07/04  20:00:00,15.6,8.2375,0
 07/04  21:00:00,15.6,7.4,0
 07/04  22:00:00,15.6,6.5375,0
 07/04  23:00:00,15.0375,6.2,0
 07/04  24:00:00,14.075,6.2,0
 07/05  01:00:00,13.1375,6.2,0
 07/05  02:00:00,12.55,6.0125,0
 07/05  03:00:00,12.2125,5.65,0
 07/05  04:00:00,11.85,5.3125,0
 07/05  05:00:00,12.0125,5.3875,0
 07/05  06:00:00,12.575,5.75,0
 07/05  07:00:00,13.1125,6.0875,0.74322432
 07/05  08:00:00,13.9875,6.5125,1.48644864
 07/05  09:00:00,15.15,7.0125,7.06063104
 07/05  10:00:00,16.2875,7.5125,7.06063104
 07/05  11:00:00,16.825,7.95,7.06063104
 07/05  12:00:00,16.9625,8.2875,7.06063104
 07/05  13:00:00,17.125,8.65,3.7161216
 07/05  14:00:00,17.075,8.925,7.06063104
 07/05  15:00:00,16.9375,9.0625,7.06063104
 07/05  16:00:00,16.775,9.225,7.06063104
 07/05  17:00:00,16.45,8.8625,7.06063104
 07/05  18:00:00,16.1125,8.1625,5.20257024
 07/05  19:00:00,15.75,7.4625,2.97289728
 07/05  20:00:00,15.475,6.6375,2.97289728
 07/05  21:00:00,15.275,5.8,0.74322432
 07/05  22:00:00,15.075,4.9375,0.74322432
 07/05  23:00:00,14.625,4.475,0.37161216
 07/05  24:00:00,14.0875,4.3375,0.37161216
 07/06  01:00:00,13.525,4.175,0
 07/06  02:00:00,13.175,4.35,0
 07/06  03:00:00,13.0375,4.6875,0
 07/06  04:00:00,12.875,5.05,0
 07/06  05:00:00,13.1125,4.95,0
 07/06  06:00:00,13.675,4.6125,0
 07/06  07:00:00,14.2125,4.25,0.74322432
 07/06  08:00:00,14.9625,4.85,1.48644864
 07/06  09:00:00,15.925,6.05,7.06063104
 07/06  10:00:00,16.8625,7.25,7.06063104
 07/06  11:00:00,17.8875,7.95,7.06063104
 07/06  12:00:00,19.05,8.2875,7.06063104
 07/06  13:00:00,20.1875,8.65,3.7161216
 07/06  14:00:00,20.35,8.55,7.06063104
 07/06  15:00:00,19.95,8.2125,7.06063104
 07/06  16:00:00,19.55,7.85,7.06063104
 07/06  17:00:00,18.5875,7.825,7.06063104
 07/06  18:00:00,17.35,7.9625,5.20257024
 07/06  19:00:00,16.0875,8.125,2.97289728
 07/06  20:00:00,15.475,7.7625,2.97289728
 07/06  21:00:00,15.275,7.125,0.74322432
 07/06  22:00:00,15.075,6.4625,0.74322432
 07/06  23:00:00,14.625,6.5125,0.37161216
 07/06  24:00:00,14.0875,7.0125,0.37161216
 07/07  01:00:00,13.525,7.5125,0
 07/07  02:00:00,13.05,7.3875,0
 07/07  03:00:00,12.7125,6.8875,0
 07/07  04:00:00,12.35,6.3875,0
 07/07  05:00:00,12.575,6.075,0
 07/07  06:00:00,13.1125,5.9375,0
 07/07  07:00:00,13.675,5.775,0.74322432
 07/07  08:00:00,14.15,5.575,0.74322432
 07/07  09:00:00,14.4875,5.4375,3.7161216
 07/07  10:00:00,14.85,5.275,3.7161216
 07/07  11:00:00,15.6875,5.5125,3.7161216
 07/07  12:00:00,16.7875,6.0125,3.7161216
 07/07  13:00:00,17.8875,6.5125,3.7161216
 07/07  14:00:00,18.425,7.45,3.7161216
 07/07  15:00:00,18.625,8.65,0.74322432
 07/07  16:00:00,18.825,9.85,0.74322432
 07/07  17:00:00,18.2125,9.9875,0.74322432
 07/07  18:00:00,17.1125,9.4875,0
 07/07  19:00:00,16.0125,8.9875,0
 07/07  20:00:00,15.6,8.4875,0
 07/07  21:00:00,15.6,7.925,0
 07/07  22:00:00,15.6,7.3875,0
 07/07  23:00:00,15.35,7.0125,0
 07/07  24:00:00,14.95,6.65,0
 07/08  01:00:00,14.55,6.3125,0
 07/08  02:00:00,14.275,6.075,0
 07/08  03:00:00,14.1375,5.9375,0
 07/08  04:00:00,13.975,5.775,0
 07/08  05:00:00,14.025,5.575,0
 07/08  06:00:00,14.1625,5.4375,0
 07/08  07:00:00,14.325,5.275,0
 07/08  08:00:00,14.9,5.3875,0
 07/08  09:00:00,15.6375,5.75,0
 07/08  10:00:00,16.4,6.0875,0
 07/08  11:00:00,17.5125,6.5125,0
 07/08  12:00:00,18.8125,7.0125,0
 07/08  13:00:00,20.1125,7.5125,0
 07/08  14:00:00,20.6,7.825,0
 07/08  15:00:00,20.6,7.9625,0
 07/08  16:00:00,20.6,8.125,0
 07/08  17:00:00,20.1,7.7,0
 07/08  18:00:00,19.3625,6.8375,0
 07/08  19:00:00,18.6,6,0
 07/08  20:00:00,17.7375,5.45,0
 07/08  21:00:00,16.8375,5.1125,0
 07/08  22:00:00,15.9375,4.75,0
 07/08  23:00:00,15.225,4.475,0
 07/08  24:00:00,14.6875,4.3375,0
 07/09  01:00:00,14.125,4.175,0
 07/09  02:00:00,13.775,4.725,0
 07/09  03:00:00,13.575,5.7875,0
 07/09  04:00:00,13.375,6.825,0
 07/09  05:00:00,13.425,6.8875,0
 07/09  06:00:00,13.625,6.3875,0
 07/09  07:00:00,13.825,5.8875,0.74322432
 07/09  08:00:00,14.3375,5.8875,1.48644864
 07/09  09:00:00,15.1,6.25,7.06063104
 07/09  10:00:00,15.8375,6.5875,7.06063104
 07/09  11:00:00,16.6625,6.825,7.06063104
 07/09  12:00:00,17.625,6.9625,7.06063104
 07/09  13:00:00,18.5625,7.125,3.7161216
 07/09  14:00:00,18.9,7.6375,7.06063104
 07/09  15:00:00,18.9,8.3375,7.06063104
 07/09  16:00:00,18.9,9.0375,7.06063104
 07/09  17:00:00,18.3375,10.05,7.06063104
 07/09  18:00:00,17.375,11.25,5.20257024
 07/09  19:00:00,16.4375,12.45,2.97289728
 07/09  20:00:00,15.725,11.525,2.97289728
 07/09  21:00:00,15.1875,9.2625,0.74322432
 07/09  22:00:00,14.625,7.025,0.74322432
 07/09  23:00:00,14.15,5.7625,0.37161216
 07/09  24:00:00,13.8125,5.0625,0.37161216
 07/10  01:00:00,13.45,4.3625,0
 07/10  02:00:00,13.05,4.1,0
 07/10  03:00:00,12.7125,4.1,0
 07/10  04:00:00,12.35,4.1,0
 07/10  05:00:00,12.7625,3.9125,0
 07/10  06:00:00,13.725,3.55,0
 07/10  07:00:00,14.6625,3.2125,0.74322432
 07/10  08:00:00,16.1875,3.5375,1.48644864
 07/10  09:00:00,18.025,4.2375,7.06063104
 07/10  10:00:00,19.8875,4.9375,7.06063104
 07/10  11:00:00,20.35,5.825,7.06063104
 07/10  12:00:00,19.95,6.825,7.06063104
 07/10  13:00:00,19.55,7.825,3.7161216
 07/10  14:00:00,19.275,8.325,7.06063104
 07/10  15:00:00,19.1375,8.525,7.06063104
 07/10  16:00:00,18.975,8.725,7.06063104
 07/10  17:00:00,18.525,8.4875,7.06063104
 07/10  18:00:00,17.9875,7.925,5.20257024
 07/10  19:00:00,17.425,7.3875,2.97289728
 07/10  20:00:00,16.8875,6.575,2.97289728
 07/10  21:00:00,16.325,5.5125,0.74322432
 07/10  22:00:00,15.7875,4.475,0.74322432
 07/10  23:00:00,15.35,4.35,0.37161216
 07/10  24:00:00,14.95,4.6875,0.37161216
 07/11  01:00:00,14.55,5.05,0
 07/11  02:00:00,14.15,5.7,0
 07/11  03:00:00,13.8125,6.5625,0
 07/11  04:00:00,13.45,7.4,0
 07/11  05:00:00,13.55,8.0125,0
 07/11  06:00:00,13.8875,8.575,0
 07/11  07:00:00,14.25,9.1125,0.74322432
 07/11  08:00:00,15.2125,9.4875,1.48644864
 07/11  09:00:00,16.5125,9.85,7.06063104
 07/11  10:00:00,17.8125,10.1875,7.06063104
 07/11  11:00:00,18.675,10.175,7.06063104
 07/11  12:00:00,19.2125,10.0375,7.06063104
 07/11  13:00:00,19.775,9.875,3.7161216
 07/11  14:00:00,20,9.8,7.06063104
 07/11  15:00:00,20,9.8,7.06063104
 07/11  16:00:00,20,9.8,7.06063104
 07/11  17:00:00,19.1875,9.05,7.06063104
 07/11  18:00:00,17.8875,7.85,5.20257024
 07/11  19:00:00,16.5875,6.65,2.97289728
 07/11  20:00:00,15.6625,6.2,2.97289728
 07/11  21:00:00,14.9,6.2,0.74322432
 07/11  22:00:00,14.1625,6.2,0.74322432
 07/11  23:00:00,13.9,6.0125,0.37161216
 07/11  24:00:00,13.9,5.65,0.37161216
 07/12  01:00:00,13.9,5.3125,0
 07/12  02:00:00,14.025,4.95,0
 07/12  03:00:00,14.1625,4.6125,0
 07/12  04:00:00,14.325,4.25,0
 07/12  05:00:00,14.275,4.1,0
 07/12  06:00:00,14.1375,4.1,0
 07/12  07:00:00,13.975,4.1,0.74322432
 07/12  08:00:00,14.7125,3.7875,1.48644864
 07/12  09:00:00,16.0125,3.2875,7.06063104
 07/12  10:00:00,17.3125,2.7875,7.06063104
 07/12  11:00:00,19.675,3.35,7.06063104
 07/12  12:00:00,22.6125,4.55,7.06063104
 07/12  13:00:00,25.575,5.75,3.7161216
 07/12  14:00:00,25.6375,6.95,7.06063104
 07/12  15:00:00,24,8.15,7.06063104
 07/12  16:00:00,22.3375,9.35,7.06063104
 07/12  17:00:00,20.6375,9.2375,7.06063104
 07/12  18:00:00,19,8.4,5.20257024
 07/12  19:00:00,17.3375,7.5375,2.97289728
 07/12  20:00:00,16.2,6.7625,2.97289728
 07/12  21:00:00,15.4625,6.125,0.74322432
 07/12  22:00:00,14.7,5.4625,0.74322432
 07/12  23:00:00,14.0875,4.7625,0.37161216
 07/12  24:00:00,13.525,4.0625,0.37161216
 07/13  01:00:00,12.9875,3.3625,0
 07/13  02:00:00,12.675,2.9125,0
 07/13  03:00:00,12.475,2.55,0
 07/13  04:00:00,12.275,2.2125,0
 07/13  05:00:00,12.8875,2.2875,0
 07/13  06:00:00,14.05,2.65,0
 07/13  07:00:00,15.1875,2.9875,0.74322432
 07/13  08:00:00,16.4125,3.2875,1.48644864
 07/13  09:00:00,17.65,3.65,7.06063104
 07/13  10:00:00,18.9125,3.9875,7.06063104
 07/13  11:00:00,19.775,4.975,7.06063104
 07/13  12:00:00,20.3125,6.3125,7.06063104
 07/13  13:00:00,20.875,7.675,3.7161216
 07/13  14:00:00,20.6625,8.5125,7.06063104
 07/13  15:00:00,19.9,9.075,7.06063104
 07/13  16:00:00,19.1625,9.6125,7.06063104
 07/13  17:00:00,18.2125,9.2375,7.06063104
 07/13  18:00:00,17.1125,8.4,5.20257024
 07/13  19:00:00,16.0125,7.5375,2.97289728
 07/13  20:00:00,15.1,7.0125,2.97289728
 07/13  21:00:00,14.3625,6.65,0.74322432
 07/13  22:00:00,13.6,6.3125,0.74322432
 07/13  23:00:00,13.175,5.325,0.37161216
 07/13  24:00:00,13.0375,3.9875,0.37161216
 07/14  01:00:00,12.875,2.625,0
 07/14  02:00:00,12.55,1.975,0
 07/14  03:00:00,12.2125,1.775,0
 07/14  04:00:00,11.85,1.575,0
 07/14  05:00:00,12.3875,1.5,0
 07/14  06:00:00,13.4875,1.5,0
 07/14  07:00:00,14.5875,1.5,0.74322432
 07/14  08:00:00,15.9375,1.8125,0.74322432
 07/14  09:00:00,17.375,2.375,3.7161216
 07/14  10:00:00,18.8375,2.9125,3.7161216
 07/14  11:00:00,20.0875,3.4125,3.7161216
 07/14  12:00:00,21.25,3.9125,3.7161216
 07/14  13:00:00,22.3875,4.4125,3.7161216
 07/14  14:00:00,22.675,4.1625,3.7161216
 07/14  15:00:00,22.475,3.525,0.74322432
 07/14  16:00:00,22.275,2.8625,0.74322432
 07/14  17:00:00,21.1375,3.1625,0.74322432
 07/14  18:00:00,19.5,4,0
 07/14  19:00:00,17.8375,4.8625,0
 07/14  20:00:00,16.5125,4.8875,0
 07/14  21:00:00,15.4125,4.325,0
 07/14  22:00:00,14.3125,3.7875,0
 07/14  23:00:00,13.775,3.4125,0
 07/14  24:00:00,13.575,3.05,0
 07/15  01:00:00,13.375,2.7125,0
 07/15  02:00:00,13.3,2.35,0
 07/15  03:00:00,13.3,2.0125,0
 07/15  04:00:00,13.3,1.65,0
 07/15  05:00:00,13.55,1.625,0
 07/15  06:00:00,13.8875,1.825,0
 07/15  07:00:00,14.25,2.025,0
 07/15  08:00:00,14.9625,2.6,0
 07/15  09:00:00,15.925,3.4625,0
 07/15  10:00:00,16.8625,4.3,0
 07/15  11:00:00,18.1375,5.35,0
 07/15  12:00:00,19.6375,6.55,0
 07/15  13:00:00,21.1375,7.75,0
 07/15  14:00:00,21.2,8.325,0
 07/15  15:00:00,20.4625,8.525,0
 07/15  16:00:00,19.7,8.725,0
 07/15  17:00:00,18.7125,8.55,0
 07/15  18:00:00,17.6125,8.2125,0
 07/15  19:00:00,16.5125,7.85,0
 07/15  20:00:00,15.725,7.2,0
 07/15  21:00:00,15.1875,6.3375,0
 07/15  22:00:00,14.625,5.5,0
 07/15  23:00:00,14.15,4.6375,0
 07/15  24:00:00,13.8125,3.8,0
 07/16  01:00:00,13.45,2.9375,0
 07/16  02:00:00,13.425,2.725,0
 07/16  03:00:00,13.625,2.8625,0
 07/16  04:00:00,13.825,3.025,0
 07/16  05:00:00,14.3375,2.975,0
 07/16  06:00:00,15.1,2.8375,0
 07/16  07:00:00,15.8375,2.675,0.74322432
 07/16  08:00:00,16.6625,3.35,1.48644864
 07/16  09:00:00,17.625,4.55,7.06063104
 07/16  10:00:00,18.5625,5.75,7.06063104
 07/16  11:00:00,19.15,6.3875,7.06063104
 07/16  12:00:00,19.4875,6.75,7.06063104
 07/16  13:00:00,19.85,7.0875,3.7161216
 07/16  14:00:00,19.75,6.8875,7.06063104
 07/16  15:00:00,19.4125,6.3875,7.06063104
 07/16  16:00:00,19.05,5.8875,7.06063104
 07/16  17:00:00,18.3375,5.2625,7.06063104
 07/16  18:00:00,17.375,4.5625,5.20257024
 07/16  19:00:00,16.4375,3.8625,2.97289728
 07/16  20:00:00,15.975,3.7875,2.97289728
 07/16  21:00:00,15.8375,4.15,0.74322432
 07/16  22:00:00,15.675,4.4875,0.74322432
 07/16  23:00:00,15.475,3.975,0.37161216
 07/16  24:00:00,15.275,2.9125,0.37161216
 07/17  01:00:00,15.075,1.875,0
 07/17  02:00:00,15,1.75,0
 07/17  03:00:00,15,2.0875,0
 07/17  04:00:00,15,2.45,0
 07/17  05:00:00,15.125,2.6,0
 07/17  06:00:00,15.325,2.6,0
 07/17  07:00:00,15.525,2.6,0.74322432
 07/17  08:00:00,15.85,3.1625,1.48644864
 07/17  09:00:00,16.1875,4,7.06063104
 07/17  10:00:00,16.55,4.8625,7.06063104
 07/17  11:00:00,17.1375,4.8875,7.06063104
 07/17  12:00:00,17.9,4.325,7.06063104
 07/17  13:00:00,18.6375,3.7875,3.7161216
 07/17  14:00:00,19.15,4.5375,7.06063104
 07/17  15:00:00,19.4875,6.1,7.06063104
 07/17  16:00:00,19.85,7.6375,7.06063104
 07/17  17:00:00,19.0625,7.7625,7.06063104
 07/17  18:00:00,17.625,7.125,5.20257024
 07/17  19:00:00,16.1625,6.4625,2.97289728
 07/17  20:00:00,15.35,6.0125,2.97289728
 07/17  21:00:00,14.95,5.65,0.74322432
 07/17  22:00:00,14.55,5.3125,0.74322432
 07/17  23:00:00,14.15,5.325,0.37161216
 07/17  24:00:00,13.8125,5.4625,0.37161216
 07/18  01:00:00,13.45,5.625,0
 07/18  02:00:00,13.175,5.3875,0
 07/18  03:00:00,13.0375,4.825,0
 07/18  04:00:00,12.875,4.2875,0
 07/18  05:00:00,12.675,4.35,0
 07/18  06:00:00,12.475,4.6875,0
 07/18  07:00:00,12.275,5.05,0.74322432
 07/18  08:00:00,12.45,5.3875,1.48644864
 07/18  09:00:00,12.7875,5.75,7.06063104
 07/18  10:00:00,13.15,6.0875,7.06063104
 07/18  11:00:00,13.9875,6.5125,7.06063104
 07/18  12:00:00,15.15,7.0125,7.06063104
 07/18  13:00:00,16.2875,7.5125,3.7161216
 07/18  14:00:00,16.575,7.825,7.06063104
 07/18  15:00:00,16.375,7.9625,7.06063104
 07/18  16:00:00,16.175,8.125,7.06063104
 07/18  17:00:00,15.725,7.7625,7.06063104
 07/18  18:00:00,15.1875,7.125,5.20257024
 07/18  19:00:00,14.625,6.4625,2.97289728
 07/18  20:00:00,14.15,6.0125,2.97289728
 07/18  21:00:00,13.8125,5.65,0.74322432
 07/18  22:00:00,13.45,5.3125,0.74322432
 07/18  23:00:00,13.175,5.325,0.37161216
 07/18  24:00:00,13.0375,5.4625,0.37161216
 07/19  01:00:00,12.875,5.625,0
 07/19  02:00:00,12.8,5.3875,0
 07/19  03:00:00,12.8,4.825,0
 07/19  04:00:00,12.8,4.2875,0
 07/19  05:00:00,12.8,4.35,0
 07/19  06:00:00,12.8,4.6875,0
 07/19  07:00:00,12.8,5.05,0.74322432
 07/19  08:00:00,13.4875,5.5125,1.48644864
 07/19  09:00:00,14.5875,6.0125,7.06063104
 07/19  10:00:00,15.6875,6.5125,7.06063104
 07/19  11:00:00,16.475,6.8875,7.06063104
 07/19  12:00:00,17.0125,7.25,7.06063104
 07/19  13:00:00,17.575,7.5875,3.7161216
 07/19  14:00:00,17.675,8.1375,7.06063104
 07/19  15:00:00,17.475,8.8375,7.06063104
 07/19  16:00:00,17.275,9.5375,7.06063104
 07/19  17:00:00,16.8875,9.3625,7.06063104
 07/19  18:00:00,16.325,8.6625,5.20257024
 07/19  19:00:00,15.7875,7.9625,2.97289728
 07/19  20:00:00,15.1,7.5125,2.97289728
 07/19  21:00:00,14.3625,7.15,0.74322432
 07/19  22:00:00,13.6,6.8125,0.74322432
 07/19  23:00:00,13.175,6.8875,0.37161216
 07/19  24:00:00,13.0375,7.25,0.37161216
 07/20  01:00:00,12.875,7.5875,0
 07/20  02:00:00,12.675,7.575,0
 07/20  03:00:00,12.475,7.4375,0
 07/20  04:00:00,12.275,7.275,0
 07/20  05:00:00,12.575,7.2,0
 07/20  06:00:00,13.1125,7.2,0
 07/20  07:00:00,13.675,7.2,0.74322432
 07/20  08:00:00,14.4625,7.075,1.48644864
 07/20  09:00:00,15.425,6.9375,7.06063104
 07/20  10:00:00,16.3625,6.775,7.06063104
 07/20  11:00:00,17.1375,7.1375,7.06063104
 07/20  12:00:00,17.9,7.8375,7.06063104
 07/20  13:00:00,18.6375,8.5375,3.7161216
 07/20  14:00:00,18.775,9.55,7.06063104
 07/20  15:00:00,18.575,10.75,7.06063104
