Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZN_1_FLR_1_SEC_4:Zone People Number Of Occupants [](Hourly),ZN_1_FLR_1_SEC_4:Zone Lights Electric Power [W](Hourly),ZN_1_FLR_1_SEC_4:Zone Electric Equipment Electric Consumption [J](Hourly),80224C:Window Transmitted Solar Energy[J](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Radiant Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Air Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Operative Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Infiltration Air Change Rate [ach](Hourly),ZN_1_FLR_1_SEC_4:Zone Ventilation Air Change Rate [ach](Hourly) 
 01/21  11:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.53601715891459,1.90668717573102,1.7213521673228,0.249121379473723,0.0 
 01/21  12:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.53082242320554,1.90179575628807,1.7163090897468,0.249117040053446,0.0 
 01/21  13:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.52595759346259,1.89728528510145,1.71162143928202,0.249113038563421,0.0 
 01/21  14:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.52133592371655,1.89303991934147,1.70718792152901,0.249109272238835,0.0 
 01/21  15:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.51690671281096,1.88899518510357,1.70295094895726,0.249105683884853,0.0 
 01/21  16:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.51263848097563,1.88511221276622,1.69887534687093,0.249102239020536,0.0 
 01/21  17:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.50851076224093,1.88136634083406,1.69493855153749,0.249098915769185,0.0 
 01/21  18:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.50450971794456,1.87774128853422,1.69112550323939,0.249095699688775,0.0 
 01/21  19:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.50062561639063,1.87422590396684,1.68742576017874,0.249092580887183,0.0 
 01/21  20:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.49685131835777,1.87081224541669,1.68383178188723,0.249089552320095,0.0 
 01/21  21:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.49318134361184,1.86749441149955,1.6803378775557,0.249086608753177,0.0 
 01/21  22:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.49557612640403,1.93153948451457,1.7135578054593,0.498286853218566,0.0 
 01/21  23:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.50435186927607,1.95021165989803,1.72728176458705,0.498319981638511,0.0 
 01/21  24:00:00,2.9,0.0,57.6339651272034,605156.633835636,0.0,1.50865945880665,1.95511286780153,1.73188616330409,0.498328677229408,0.0 
 01/21  01:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.86996604248868,3.30743123877287,3.08869864063078,0.498431964963404,0.0 
 01/21  02:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.87110909073953,3.30858812201972,3.08984860637962,0.498434003812385,0.0 
 01/21  03:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.87199824538772,3.30944587002763,3.09072205770767,0.498435515473825,0.0 
 01/21  04:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.87273694867422,3.31013327405645,3.09143511136533,0.498436726926198,0.0 
 01/21  05:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.87337940844707,3.31071493210675,3.09204717027691,0.4984377520152,0.0 
 01/21  06:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.87395680528012,3.31122701559387,3.09259191043699,0.498438654488202,0.0 
 01/21  07:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.87448802845949,3.31169108609828,3.09308955727889,0.498439472344629,0.0 
 01/21  08:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.86946544816258,3.25149104160909,3.06047824488584,0.249166686633171,0.0 
 01/21  09:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.85824211943747,3.2293946064707,3.04381836295408,0.24914721365914,0.0 
 01/21  10:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.8515174857825,3.22167216050063,3.03659482314157,0.249140407887202,0.0 
